record_index,timestamp,sat_id,international_designator,launch_year,launch_num,launch_piece,sma,ecc,inc,raan,aop,true_anomaly,cluster_label,is_noise,umap_1,umap_2,umap_3,source_folder,inclination_group,inclination_sort,local_cluster_label,global_cluster_id
238,2025-04-10 00:00:00,sat1496.txt,20038BC,20,38,BC,6925.3619,0.0001326,53.0542,251.2055,86.7748,129.10159,-1,1,6.9387527,9.2128544,5.2582231,starlink_labels_53.0,53.0,53,-1,0
240,2025-04-10 00:00:00,sat1500.txt,20038Q,20,38,Q,6917.2293,0.0001847,53.0532,291.7412,165.4453,80.692086,-1,1,0.44649869,10.781958,5.7553353,starlink_labels_53.0,53.0,53,-1,0
241,2025-04-10 00:00:00,sat1502.txt,20038AL,20,38,AL,6925.3597,0.0001309,53.0536,271.2023,72.9477,132.93938,-1,1,4.2943354,10.717036,5.5340681,starlink_labels_53.0,53.0,53,-1,0
243,2025-04-10 00:00:00,sat1506.txt,20038T,20,38,T,6905.498,0.0001214,53.0528,289.7132,38.1545,78.098912,-1,1,1.4026291,9.5807753,5.0781255,starlink_labels_53.0,53.0,53,-1,0
246,2025-04-10 00:00:00,sat1513.txt,20038BJ,20,38,BJ,6925.369,0.0001398,53.0545,251.0745,84.795,331.19048,-1,1,7.0199409,9.1880817,6.8175535,starlink_labels_53.0,53.0,53,-1,0
267,2025-04-10 00:00:00,sat1554.txt,20055AE,20,55,AE,6925.3644,0.0001434,53.0548,172.12,80.3774,154.85288,-1,1,11.392756,-1.0214143,2.9909494,starlink_labels_53.0,53.0,53,-1,0
283,2025-04-10 00:00:00,sat1577.txt,20055AN,20,55,AN,6925.4468,0.0001318,53.0548,172.4543,82.2824,192.72977,-1,1,11.406804,-0.92373723,2.4117963,starlink_labels_53.0,53.0,53,-1,0
292,2025-04-10 00:00:00,sat1591.txt,20055U,20,55,U,6925.3827,0.000142,53.0543,182.2586,98.0499,302.11912,-1,1,13.48146,0.5076952,3.1551039,starlink_labels_53.0,53.0,53,-1,0
309,2025-04-10 00:00:00,sat1623.txt,20057N,20,57,N,6925.4054,5.24e-05,53.055,334.936,107.2163,286.21143,-1,1,-3.9439754,6.0976357,4.2319303,starlink_labels_53.0,53.0,53,-1,0
313,2025-04-10 00:00:00,sat1627.txt,20057BD,20,57,BD,6925.3995,0.0001578,53.0551,321.4977,123.6262,327.08217,-1,1,-3.3444531,7.7155371,3.7387297,starlink_labels_53.0,53.0,53,-1,0
316,2025-04-10 00:00:00,sat1631.txt,20057AL,20,57,AL,6767.6726,0.000597,53.0495,335.6145,181.122,183.55226,-1,1,-3.7904794,5.9045491,4.4158559,starlink_labels_53.0,53.0,53,-1,0
324,2025-04-10 00:00:00,sat1643.txt,20057V,20,57,V,6925.3302,0.0001345,53.0565,1.5892,91.4795,179.11534,-1,1,-3.4935021,2.6311998,4.9414077,starlink_labels_53.0,53.0,53,-1,0
